coal_adj_close,ttf_adj_close,ttf_volume,oil_adj_close,oil_volume,fractional_hour,day_of_week,week_of_year,month,year,hydro_storage_in,cross_border,nuclear,hydro,biomass,lignite,hard_coal,oil,coal_gas,nat_gas,geothermal,hydro_reservoir,hydro_storage_out,others,waste,wind_offshore,wind_onshore,solar,load,residual_load,renewable_share_gen,renewable_share_load,day_ahead_price,holiday,actual_pmi,temp_north,windspeed_north,temp_south,windspeed_south,solarradiation_south,solarenergy_south,temp_brocken,windspeed_brocken,solarradiation_brocken,solarenergy_brocken
96.4,67.78,17704.0,61.73,616474.0,17.75,0.0,2.0,1.0,2018.0,-85.7,-10951.1,9382.5,2057.0,5171.6,20821.4,6911.9,304.8,461.0,11740.3,18.3,32.7,788.9,2016.7,1205.5,3236.2,26654.4,0.0,82900.1,53009.5,41.5,45.5,37.99,0.0,63.3,5.2,16.1,6.3,22.4,6.0,0.0,-2.8,16.7,49.0,0.2
96.4,67.78,17704.0,61.73,616474.0,18.0,0.0,2.0,1.0,2018.0,-289.2,-10619.0,9392.4,2058.7,5162.2,20849.7,6313.7,303.9,461.0,11201.3,18.3,65.9,1329.8,2017.0,1200.9,3247.6,26843.5,0.0,82032.0,51940.9,41.9,46.2,31.92,0.0,63.3,5.0,22.5,6.1,17.0,47.0,0.2,-2.6,15.6,21.0,0.1
96.4,67.78,17704.0,61.73,616474.0,18.25,0.0,2.0,1.0,2018.0,-383.2,-10619.0,9386.3,2060.5,5159.9,20809.7,6179.4,303.9,465.6,11094.2,18.3,34.2,819.3,2016.9,1203.5,3252.2,27025.4,0.0,81185.5,50907.9,42.4,46.9,31.92,0.0,63.3,5.0,22.5,6.1,17.0,47.0,0.2,-2.6,15.6,21.0,0.1
96.4,67.78,17704.0,61.73,616474.0,18.5,0.0,2.0,1.0,2018.0,-497.9,-10619.0,9382.2,2062.4,5159.4,20829.9,6196.5,304.8,465.6,11066.6,18.3,34.3,627.7,1961.9,1220.4,3250.0,27145.4,0.0,80753.2,50357.9,42.6,47.3,31.92,0.0,63.3,5.0,22.5,6.1,17.0,47.0,0.2,-2.6,15.6,21.0,0.1
96.4,67.78,17704.0,61.73,616474.0,18.75,0.0,2.0,1.0,2018.0,-929.7,-10619.0,9380.8,2065.3,5158.5,20797.5,6154.4,305.2,465.6,11063.5,18.4,46.1,369.2,1961.9,1213.9,3245.8,27064.8,0.0,79969.5,49658.9,42.7,47.7,31.92,0.0,63.3,5.0,22.5,6.1,17.0,47.0,0.2,-2.6,15.6,21.0,0.1
96.4,67.78,17704.0,61.73,616474.0,19.0,0.0,2.0,1.0,2018.0,-1254.8,-12447.9,9390.7,2064.0,5118.0,20769.5,5981.2,304.2,465.6,10991.2,18.4,50.3,699.1,1964.9,1187.7,3246.4,26900.8,0.0,78009.2,47862.0,42.5,48.6,28.02,0.0,63.3,5.0,17.7,5.8,15.7,8.0,0.0,-2.9,15.0,7.0,0.0
96.4,67.78,17704.0,61.73,616474.0,19.25,0.0,2.0,1.0,2018.0,-1626.3,-12447.9,9376.5,2068.7,5105.5,20712.0,5788.0,303.4,523.0,10839.6,18.4,38.1,320.2,1962.2,1181.2,3245.2,26803.5,0.0,76662.8,46614.2,42.8,49.3,28.02,0.0,63.3,5.0,17.7,5.8,15.7,8.0,0.0,-2.9,15.0,7.0,0.0
96.4,67.78,17704.0,61.73,616474.0,19.5,0.0,2.0,1.0,2018.0,-1924.6,-12447.9,9382.6,2076.1,5103.2,20701.9,5549.9,302.9,523.0,10625.9,18.4,40.1,304.5,1961.1,1170.8,3249.4,26730.8,0.0,75796.8,45816.6,43.0,49.8,28.02,0.0,63.3,5.0,17.7,5.8,15.7,8.0,0.0,-2.9,15.0,7.0,0.0
96.4,67.78,17704.0,61.73,616474.0,19.75,0.0,2.0,1.0,2018.0,-2088.8,-12447.9,9360.3,2083.1,5111.6,20745.0,5251.6,302.2,523.0,10087.7,18.5,37.4,256.8,1961.2,1159.1,3253.0,26410.8,0.0,74724.1,45060.3,43.2,50.1,28.02,0.0,63.3,5.0,17.7,5.8,15.7,8.0,0.0,-2.9,15.0,7.0,0.0
96.4,67.78,17704.0,61.73,616474.0,20.0,0.0,2.0,1.0,2018.0,-1387.2,-12593.9,9388.5,2092.0,5103.9,20646.1,5173.9,302.4,523.0,9403.2,18.5,50.6,666.8,1962.5,1174.2,3266.8,26533.7,0.0,73741.8,43941.3,43.6,51.0,22.35,0.0,63.3,4.9,15.8,5.4,16.2,0.0,0.0,-2.9,14.8,0.0,0.0
96.4,67.78,17704.0,61.73,616474.0,20.25,0.0,2.0,1.0,2018.0,-1516.9,-12593.9,9381.6,2094.6,5095.5,20502.2,5059.7,303.1,500.6,9235.1,18.5,37.2,587.5,1962.3,1192.4,3277.2,26568.9,0.0,72839.3,42993.3,43.8,51.7,22.35,0.0,63.3,4.9,15.8,5.4,16.2,0.0,0.0,-2.9,14.8,0.0,0.0
96.4,67.78,17704.0,61.73,616474.0,20.5,0.0,2.0,1.0,2018.0,-2026.7,-12593.9,9372.1,2100.3,5091.8,20441.7,4924.1,303.1,500.6,9106.7,18.5,33.2,250.2,1929.2,1196.3,3286.9,26610.8,0.0,72108.0,42210.3,44.2,52.3,22.35,0.0,63.3,4.9,15.8,5.4,16.2,0.0,0.0,-2.9,14.8,0.0,0.0
