Date;Open;High;Low;Close*;Adj Close**;Volume
Apr 05, 2021;58.80;60.90;58.62;59.33;59.33;457,348
Apr 04, 2021;61.50;61.50;57.63;58.65;58.65;438,864
Mar 31, 2021;59.49;61.75;58.86;61.45;61.45;605,567
Mar 30, 2021;60.45;61.17;58.85;59.16;59.16;414,162
Mar 29, 2021;61.96;62.27;59.94;60.55;60.55;388,188
Mar 28, 2021;60.93;61.77;59.41;61.56;61.56;449,36
Mar 25, 2021;58.48;61.36;58.32;60.97;60.97;471,996
Mar 24, 2021;60.80;60.86;57.44;58.56;58.56;580,105
Mar 23, 2021;57.40;61.34;57.29;61.18;61.18;566,291
Mar 22, 2021;61.28;61.35;57.25;57.76;57.76;712,317
Mar 21, 2021;61.55;61.90;60.39;61.55;61.55;404,37
Mar 18, 2021;59.56;61.72;58.94;61.42;61.42;84,171
Mar 17, 2021;64.42;64.82;58.20;60.00;60.00;143,597
Mar 16, 2021;64.75;65.34;63.60;64.60;64.60;254,724
Mar 15, 2021;65.33;65.43;63.80;64.80;64.80;317,537
Mar 14, 2021;65.56;66.40;64.13;65.39;65.39;378,009
Mar 12, 2021;65.96;66.24;65.41;65.61;65.61;321,714
Mar 11, 2021;64.70;66.21;64.54;66.02;66.02;441,063
Mar 10, 2021;63.84;64.96;63.13;64.44;64.44;498,488
Mar 09, 2021;64.73;65.98;63.63;64.01;64.01;554,564
Mar 08, 2021;66.68;67.98;64.57;65.05;65.05;533,376
Mar 05, 2021;64.16;66.42;63.82;66.09;66.09;573,168
Mar 04, 2021;61.08;64.86;60.52;63.83;63.83;694,628
Mar 03, 2021;59.55;61.99;59.24;61.28;61.28;465,311
Mar 02, 2021;60.23;61.21;59.38;59.75;59.75;464,133
Mar 01, 2021;61.95;62.92;59.96;60.64;60.64;456,679
Feb 26, 2021;63.46;63.57;61.34;61.50;61.50;472,723
Feb 25, 2021;63.39;63.81;62.65;63.53;63.53;510,357
Feb 24, 2021;61.29;63.51;60.97;63.22;63.22;489,933
Feb 23, 2021;62.16;63.00;60.67;61.67;61.67;570,677
Feb 22, 2021;58.88;61.84;58.82;61.49;61.49;505,773
Feb 19, 2021;60.20;60.29;58.59;59.24;59.24;102,427
Feb 18, 2021;61.68;62.26;59.79;60.52;60.52;132,035
Feb 17, 2021;60.24;61.73;59.43;61.14;61.14;335,419
Feb 16, 2021;59.98;60.95;59.33;60.05;60.05;602,332
Feb 12, 2021;57.94;59.82;57.41;59.47;59.47;480,822
Feb 11, 2021;58.40;58.71;57.84;58.24;58.24;380,445
Feb 10, 2021;58.45;58.91;58.08;58.68;58.68;457,535
Feb 09, 2021;58.11;58.62;57.27;58.36;58.36;514,698
Feb 08, 2021;57.06;58.14;57.00;57.97;57.97;399,724
Feb 05, 2021;56.46;57.29;56.43;56.85;56.85;400,833
Feb 04, 2021;55.96;56.58;55.30;56.23;56.23;381,404
Feb 03, 2021;55.05;56.33;54.81;55.69;55.69;448,693
Feb 02, 2021;53.48;55.26;53.45;54.76;54.76;463,718
Feb 01, 2021;51.99;53.74;51.64;53.55;53.55;416,067
Jan 29, 2021;52.15;53.25;51.93;52.20;52.20;410,914
Jan 28, 2021;52.65;53.58;52.04;52.34;52.34;411,406
Jan 27, 2021;52.76;53.30;51.85;52.85;52.85;442,376
Jan 26, 2021;52.91;53.25;52.29;52.61;52.61;314,538
Jan 25, 2021;52.17;52.95;51.82;52.77;52.77;349,076
Jan 22, 2021;53.10;53.16;51.44;52.27;52.27;437,484
Jan 21, 2021;52.93;53.41;52.75;53.13;53.13;352,397
Jan 20, 2021;53.13;53.79;53.05;53.24;53.24;400,301
Jan 19, 2021;52.00;53.13;51.76;52.98;52.98;125,964
Jan 15, 2021;53.80;53.83;51.83;52.36;52.36;165,668
Jan 14, 2021;52.84;53.75;52.24;53.57;53.57;390,087
Jan 13, 2021;53.31;53.93;52.58;52.91;52.91;429,898
Jan 12, 2021;52.18;53.45;52.07;53.21;53.21;400,2
Jan 11, 2021;52.58;52.70;51.50;52.25;52.25;394,822
Jan 08, 2021;50.93;52.75;50.81;52.24;52.24;499,416
Jan 07, 2021;50.53;51.28;50.39;50.83;50.83;369,292
Jan 06, 2021;49.82;50.94;49.48;50.63;50.63;509,365
Jan 05, 2021;47.38;50.20;47.24;49.93;49.93;643,191
Jan 04, 2021;48.40;49.83;47.18;47.62;47.62;528,525
Dec 31, 2020;48.35;48.58;47.77;48.52;48.52;181,894
Dec 30, 2020;48.13;48.66;47.61;48.40;48.40;266,957
Dec 29, 2020;47.72;48.35;47.68;48.00;48.00;213,778
Dec 28, 2020;48.23;48.96;47.50;47.62;47.62;238,462
Dec 24, 2020;48.09;48.62;47.56;48.23;48.23;167,39
Dec 23, 2020;46.79;48.50;46.16;48.12;48.12;344,306
Dec 22, 2020;47.93;47.96;46.60;47.02;47.02;295,737
Dec 21, 2020;48.54;48.61;46.18;47.74;47.74;478,098
Dec 18, 2020;48.43;49.28;48.10;49.10;49.10;83,711
Dec 17, 2020;47.85;48.59;47.81;48.36;48.36;96,536
Dec 16, 2020;47.60;47.94;47.17;47.82;47.82;275,331
Dec 15, 2020;46.99;47.73;46.54;47.62;47.62;311,169
Dec 14, 2020;46.73;47.44;45.69;46.99;46.99;403,543
Dec 11, 2020;46.97;47.29;46.34;46.57;46.57;367,305
Dec 10, 2020;45.69;47.74;45.52;46.78;46.78;447,529
