Date,Open,High,Low,Close_,Adj_Close__,Volume
"Feb 06, 2019",79.3,79.3,79.3,79.3,79.3,-
"Apr 03, 2023",142.85,142.85,142.85,142.85,142.85,-
"Sep 24, 2020",67.55,67.55,67.55,67.55,67.55,-
"Sep 15, 2020",67.55,67.55,67.55,67.55,67.55,-
"Aug 30, 2020",67.55,67.55,67.55,67.55,67.55,-
"Aug 27, 2020",67.55,67.55,67.55,67.55,67.55,-
"Jun 22, 2020",67.55,67.55,67.55,67.55,67.55,-
"Mar 21, 2021",71.55,71.55,71.55,71.55,71.55,-
"May 24, 2023",95.55,95.55,95.55,95.55,95.55,-
"Dec 16, 2021",107.55,107.55,107.55,107.55,107.55,-
"Oct 19, 2022",239.1,239.1,239.1,239.1,239.1,-
"Jan 24, 2023",167.35,167.35,167.35,167.35,167.35,-
"Nov 10, 2020",61.9,61.9,61.9,61.9,61.9,-
"Mar 15, 2021",67.8,67.8,67.8,67.8,67.8,-
"Feb 26, 2021",67.8,67.8,67.8,67.8,67.8,-
"Dec 17, 2020",67.8,67.8,67.8,67.8,67.8,-
"Nov 06, 2019",75.8,75.8,75.8,75.8,75.8,-
"May 21, 2019",75.8,75.8,75.8,75.8,75.8,-
"Sep 18, 2022",288.15,288.15,288.15,288.15,288.15,-
"Mar 31, 2020",64.1,64.1,64.1,64.1,64.1,-
"Mar 01, 2021",68.1,68.1,68.1,68.1,68.1,-
"Mar 06, 2020",68.1,68.1,68.1,68.1,68.1,-
"Sep 23, 2019",76.1,76.1,76.1,76.1,76.1,-
"Jul 10, 2019",76.1,76.1,76.1,76.1,76.1,-
"Apr 07, 2019",80.1,80.1,80.1,80.1,80.1,-
"Sep 27, 2023",128.2,128.2,128.2,128.2,128.2,-
"Apr 07, 2022",192.45,192.45,192.45,192.45,192.45,-
"Apr 14, 2021",72.35,72.35,72.35,72.35,72.35,-
"Aug 08, 2019",72.35,72.35,72.35,72.35,72.35,-
"Mar 17, 2019",72.35,72.35,72.35,72.35,72.35,-
"Feb 21, 2019",76.35,76.35,76.35,76.35,76.35,-
"Aug 19, 2021",80.35,80.35,80.35,80.35,80.35,-
"May 15, 2023",104.35,104.35,104.35,104.35,104.35,-
"Dec 13, 2022",232.7,232.7,232.7,232.7,232.7,-
"Jan 13, 2023",168.95,168.95,168.95,168.95,168.95,-
"Dec 30, 2022",184.95,184.95,184.95,184.95,184.95,-
